TimeOfDay,Temperature,Weather,PastTrafficVolume,FutureTrafficCongestion
6,17.337204367950953,Rain,225,129.39975784257678
19,10.351995567877111,Fog,492,264.7791476319972
14,14.971060102220129,Fog,420,214.69909699204345
10,27.78354881871625,Fog,424,240.9140070498087
7,29.75438851328014,Snow,71,37.297113689837104
20,25.148999369525285,Snow,287,166.779900906623
6,33.15752196283373,Fog,207,130.63223173537884
18,26.27692563754861,Snow,87,57.827062606414216
22,32.87399188859452,Clear,279,169.04166302845053
10,31.250964444744984,Clear,414,208.52501249695248
10,21.236266853455085,Snow,100,51.86740943746072
23,12.385252912260283,Snow,487,284.6300280329829
20,19.27045630495666,Fog,313,174.50953207056315
3,26.72103131659018,Rain,332,172.35302563259424
7,26.648058915437417,Snow,76,64.11216300274022
23,24.782444692693176,Clear,275,175.99967765493054
2,16.868044824751603,Fog,326,173.79105137484217
21,24.03108564619253,Snow,335,198.64452379095002
20,19.573171868844746,Clear,146,77.2673732496884
1,34.292802384727594,Clear,333,169.0840860584304
23,31.222845606652097,Rain,416,234.5677315784074
11,28.04323802912183,Fog,497,275.5317560805053
5,15.899622993723893,Fog,366,214.87149507491034
1,16.4017080690331,Rain,353,212.8045666861331
20,11.010839738460783,Rain,196,146.79260397312675
0,27.766572242144683,Fog,53,52.31501741505977
11,12.772270520295784,Fog,84,58.147823647062296
21,20.983412546644253,Snow,241,160.25930973843518
11,15.042980058384906,Snow,98,62.54161256310371
16,32.394089891837986,Rain,66,54.9485710352818
9,21.884255579552793,Snow,221,114.4228190671133
15,24.081889299409593,Clear,269,135.76753717077287
14,27.387902160653187,Snow,207,151.63242073389625
14,13.483286360146892,Snow,95,89.29900602561028
18,25.110434481945433,Clear,422,245.7987103046849
11,23.496027282541828,Rain,55,47.94764722071349
22,15.076530618369235,Clear,148,82.66471600354228
19,33.571339263949525,Snow,429,222.3218521335543
2,24.9716366622134,Rain,282,153.51214490822977
4,27.369623325992613,Snow,86,70.46133323530603
18,32.01169597538144,Clear,329,200.2297961350031
6,25.60885120334483,Clear,398,232.00986883588655
20,17.390842145942848,Snow,351,189.49669484729714
8,12.637356495756766,Fog,230,162.7432640331597
6,21.413364262072754,Fog,144,108.89484583478843
17,15.46101093042084,Clear,148,101.71770262557004
3,20.412748696759156,Clear,237,149.0860373117176
13,32.082006472971706,Fog,165,103.4800031213895
17,18.10862552513185,Fog,240,132.38654947505788
8,13.052198867516834,Snow,302,168.79863393256306
20,18.907445951924373,Snow,465,270.39230552321845
1,32.67071103864385,Fog,210,105.71967443148779
19,16.80330623461588,Snow,305,158.30363202534582
14,26.192253013534057,Snow,372,188.30013210108763
6,10.013009424882895,Rain,177,90.53644011594851
11,18.814221408354225,Snow,67,76.27302920055035
7,17.619531453950728,Clear,330,200.1828929690012
14,14.116396328573543,Snow,272,159.70869145436626
2,23.35223548438605,Snow,103,56.39170803255007
13,22.120749283974583,Fog,107,78.08079375584163
16,27.31090082225676,Clear,372,209.6735885390283
3,16.735308344963038,Snow,409,213.16009349550075
17,16.103138056194354,Snow,223,133.19258246189867
7,14.207276054323264,Rain,329,184.42523671986868
3,15.469105489326756,Snow,163,112.29250490261083
1,23.95255005043353,Snow,337,200.2546825433822
5,20.095904276451023,Rain,480,242.26520048860223
21,11.622306177724539,Fog,391,214.23063073132357
9,16.347885348358616,Snow,200,131.2929957857118
3,16.17190157096503,Rain,499,274.6568129290044
21,27.407606820994708,Clear,176,130.82449205941612
17,27.80676474811105,Fog,204,134.93468158094726
11,13.702173248834997,Clear,435,225.64672135407147
1,34.943512126223546,Clear,322,164.5284373700215
9,16.669525356882126,Rain,153,108.62096391031578
3,34.41537389581632,Snow,466,234.3255655270811
13,20.275925332955783,Rain,442,250.28877906367316
15,10.826268322513709,Rain,348,221.01151207124786
14,18.626781200667075,Rain,295,176.27370889379395
7,25.858783617534094,Rain,225,131.9084963103261
13,27.01763628886917,Fog,88,76.16441092211767
22,23.27336458292841,Snow,219,132.41264452457582
7,21.19457911432729,Clear,296,175.28083946579676
20,23.822327226783198,Clear,75,84.57324043882626
15,24.817418096984838,Snow,404,221.30513189003872
12,12.021333158317882,Clear,355,225.5595281911957
17,19.241361401535112,Snow,458,274.26753209780316
14,16.053998456935645,Clear,457,238.2895567394648
20,30.078493909497396,Rain,62,34.46806504375827
23,21.75751586115096,Clear,365,187.53890006887133
12,34.58557852237107,Snow,440,220.91109128257747
8,19.97061106111383,Snow,362,185.72214803779642
14,30.4107968304846,Snow,85,76.65033867081785
12,29.958628124613778,Snow,222,114.55943242301144
0,13.767938599135736,Snow,69,50.448781514688065
6,22.70496941851797,Fog,370,227.24376554847274
8,27.395320169772045,Fog,313,157.6635967867913
23,31.458970120342997,Clear,449,265.2234241294468
0,18.14897263004712,Snow,191,109.59273873867
11,15.506026189138709,Clear,420,215.9082413810828
